unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
0.3251953125,0.326171875,5,9
0.353515625,0.3544921875,4,3
0.35546875,0.3564453125,1,4
0.3388671875,0.33984375,8,4
0.33984375,0.3408203125,8,3
0.3720703125,0.373046875,6,1
0.3388671875,0.33984375,3,9
0.35546875,0.3564453125,9,5
0.353515625,0.3544921875,7,3
0.3427734375,0.34375,3,4
0.328125,0.3291015625,6,9
0.333984375,0.3349609375,8,3
0.3466796875,0.34765625,4,3
0.3603515625,0.361328125,6,9
0.34375,0.3447265625,3,9
0.3447265625,0.345703125,3,2
0.3466796875,0.34765625,0,3
0.341796875,0.3427734375,3,4
0.3759765625,0.376953125,4,8
0.333984375,0.3349609375,3,2
0.3173828125,0.318359375,5,8
0.3037109375,0.3046875,5,2
0.345703125,0.3466796875,9,6
0.3515625,0.3525390625,6,9
0.337890625,0.3388671875,1,4
0.3564453125,0.357421875,6,0
0.34375,0.3447265625,2,0
0.3427734375,0.34375,0,3
0.337890625,0.3388671875,9,3
0.341796875,0.3427734375,3,4
0.3359375,0.3369140625,1,4
0.333984375,0.3349609375,1,9
0.34375,0.3447265625,9,3
0.2998046875,0.30078125,5,9
0.326171875,0.3271484375,8,3
0.353515625,0.3544921875,6,9
0.345703125,0.3466796875,9,3
0.32421875,0.3251953125,5,2
0.3388671875,0.33984375,2,3
0.3203125,0.3212890625,5,9
0.3486328125,0.349609375,8,3
0.33203125,0.3330078125,9,5
0.3720703125,0.373046875,0,3
0.3310546875,0.33203125,9,2
0.3115234375,0.3125,7,3
0.3779296875,0.37890625,4,3
0.35546875,0.3564453125,9,3
0.3642578125,0.365234375,4,8
0.330078125,0.3310546875,2,5
0.3291015625,0.330078125,3,9
0.333984375,0.3349609375,8,3
0.3515625,0.3525390625,1,3
0.3369140625,0.337890625,3,0
0.3505859375,0.3515625,6,3
0.3291015625,0.330078125,4,3
0.3330078125,0.333984375,1,4
0.35546875,0.3564453125,0,5
0.359375,0.3603515625,0,2
0.3583984375,0.359375,0,9
0.3525390625,0.353515625,2,7
0.34765625,0.3486328125,7,9
0.34375,0.3447265625,3,0
0.3291015625,0.330078125,9,2
0.3623046875,0.36328125,4,5
0.375,0.3759765625,0,4
0.3408203125,0.341796875,2,9
0.31640625,0.3173828125,5,9
0.326171875,0.3271484375,2,9
0.3447265625,0.345703125,7,2
0.349609375,0.3505859375,3,2
0.330078125,0.3310546875,9,2
0.33984375,0.3408203125,7,2
0.345703125,0.3466796875,9,2
0.349609375,0.3505859375,8,3
0.3359375,0.3369140625,2,3
0.318359375,0.3193359375,8,5
0.3447265625,0.345703125,9,2
0.345703125,0.3466796875,2,9
0.3779296875,0.37890625,3,2
0.31640625,0.3173828125,5,9
0.3369140625,0.337890625,7,6
0.3330078125,0.333984375,9,3
0.32421875,0.3251953125,5,9
0.314453125,0.3154296875,8,3
0.3408203125,0.341796875,3,0
0.3583984375,0.359375,0,2
0.3232421875,0.32421875,2,5
0.341796875,0.3427734375,8,3
0.3623046875,0.36328125,3,2
0.3330078125,0.333984375,8,3
0.3662109375,0.3671875,4,8
0.3359375,0.3369140625,1,3
0.33984375,0.3408203125,3,0
0.359375,0.3603515625,1,3
0.3369140625,0.337890625,3,9
0.333984375,0.3349609375,3,9
0.3408203125,0.341796875,3,9
0.365234375,0.3662109375,3,9
0.3310546875,0.33203125,7,2
0.3017578125,0.302734375,8,3
